2025-09-11 13:03:51.741 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 4 log files
2025-09-11 13:04:15.254 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-11 13:04:15.260 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 4 log files
2025-09-11 13:04:15.271 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-11 13:04:15.276 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 4 log files
2025-09-11 13:04:15.277 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-11 13:04:15.282 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 4 log files
2025-09-11 13:09:48.780 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-11 13:09:48.786 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 4 log files
2025-09-11 13:09:48.797 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-11 13:09:48.804 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 4 log files
2025-09-11 13:09:48.806 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-11 13:09:48.811 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 4 log files
2025-09-11 13:11:10.456 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-11 13:11:10.462 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 4 log files
2025-09-11 13:11:10.473 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-11 13:11:10.480 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 4 log files
2025-09-11 13:11:10.482 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-11 13:11:10.487 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 4 log files
2025-09-11 13:11:21.154 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-11 13:11:21.160 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 4 log files
2025-09-11 13:11:21.173 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-11 13:11:21.179 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 4 log files
2025-09-11 13:11:21.180 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-11 13:11:21.185 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 4 log files
2025-09-11 13:25:56.141 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-11 13:25:56.148 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 4 log files
2025-09-11 13:25:56.159 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-11 13:25:56.165 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 4 log files
2025-09-11 13:25:56.166 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-11 13:25:56.172 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 4 log files
2025-09-11 13:26:06.731 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-11 13:26:06.737 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 4 log files
2025-09-11 13:26:06.748 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
