2025-09-12 13:06:40.527 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 13:06:40.529 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 13:06:40.544 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 14:03:06.276 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 14:03:06.291 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 14:03:06.303 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 14:03:06.317 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 14:03:06.319 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 14:03:06.332 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 14:09:09.712 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 14:09:09.727 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 14:09:09.739 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 14:09:09.754 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 14:09:09.756 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 14:09:09.771 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 14:46:52.581 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 14:46:52.596 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 14:46:52.606 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 14:46:52.619 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 14:46:52.621 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 14:46:52.634 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 14:56:27.154 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 14:56:27.169 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 14:56:27.178 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
