2025-09-11 14:15:04.080 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-11 14:15:04.489 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-11 14:15:04.491 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-11 14:59:22.987 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-11 14:59:23.394 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-11 14:59:23.396 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-11 15:09:44.495 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-11 15:09:44.908 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-11 15:09:44.910 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 07:53:42.145 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 07:53:43.088 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 07:53:43.090 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 07:53:53.128 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 07:53:53.487 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 07:53:53.489 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 07:54:45.511 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 07:54:45.938 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 07:54:45.940 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 07:58:02.012 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 07:58:02.373 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 07:58:02.374 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 07:58:52.434 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 07:58:52.799 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 07:58:52.801 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 07:59:14.831 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 07:59:15.201 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 07:59:15.203 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 07:59:28.776 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 07:59:29.136 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 07:59:29.138 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 08:01:03.868 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 08:01:04.248 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 08:01:04.250 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 08:02:31.086 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 08:02:31.481 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 08:02:31.483 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 08:02:49.106 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 08:02:49.500 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 08:02:49.502 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 08:03:05.705 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 08:03:06.184 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 08:03:06.185 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 08:03:21.111 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 08:03:21.558 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 08:03:21.562 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 08:03:34.125 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 08:03:34.525 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 08:03:34.527 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 08:04:42.917 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 08:04:43.321 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 08:04:43.323 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 08:05:23.844 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 08:05:24.224 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
2025-09-12 08:05:24.226 | INFO     | backend.utils.performance_monitor:start_monitoring:102 | Performance monitoring started
